Rk,Teams,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,SO,S%,SV%,PDO,CF,CA,CF%,FF,FA,FF%,xGF,xGA,aGF,aGA,axDiff,SCF,SCA,SCF%,HDF,HDA,HDF%,HDGF,HDC%,HDGA,HDCO%
1,Washington Capitals*,28.4,82,55,19,8,118,0.72,261,177,2,5,0.99,0,5.34,199,130,57,248,22.98,44,272,83.82,5,3,9.1,8.7,2495,10.5,2282,0.922,12,8.4,0.941,102.5,3658,3405,51.8,2696,2546,51.4,166.4,156.9,178,113,56,1570,1534,50.6,341,364,48.4,60,15,50,12.1
2,Pittsburgh Penguins*,28.7,82,50,21,11,111,0.677,278,229,4,5,0.59,0.01,6.18,213,170,60,260,23.08,52,257,79.77,5,7,8.6,9,2745,10.1,2671,0.914,5,7.9,0.932,101,3810,3788,50.1,2874,2735,51.2,197.5,175.7,185,150,13,1778,1597,52.7,404,381,51.5,60,12.9,52,12
3,Chicago Blackhawks*,29.4,82,50,23,9,109,0.665,240,212,4,1,0.32,-0.06,5.51,197,158,42,233,18.03,47,211,77.73,1,7,7.1,7.9,2508,9.6,2574,0.918,4,7.6,0.937,101.3,3779,3713,50.4,2713,2716,50,178.2,182.5,167,138,33,1645,1693,49.3,330,382,46.3,74,18.3,61,13.8
4,Columbus Blue Jackets*,26.2,82,50,24,8,108,0.659,247,193,2,2,0.68,0.02,5.37,195,152,42,211,19.91,39,223,82.51,10,2,8.7,8.6,2540,9.7,2489,0.922,8,7.6,0.936,101.2,3719,3677,50.3,2772,2727,50.4,178.3,174.7,168,133,31,1636,1625,50.2,399,400,49.9,63,13.6,42,9.5
5,Minnesota Wild*,28.3,82,49,25,8,106,0.646,263,206,3,2,0.63,-0.08,5.72,211,166,47,224,20.98,37,217,82.95,5,3,8.2,8.4,2527,10.4,2465,0.916,5,8.4,0.931,101.5,3650,3744,49.4,2769,2778,49.9,175.4,151.6,187,148,15,1638,1415,53.7,359,295,54.9,77,17.7,50,14.5
6,Anaheim Ducks*,27.6,82,46,23,13,105,0.64,220,197,3,3,0.24,-0.04,5.09,164,147,47,251,18.73,43,281,84.7,9,7,11.4,11.2,2425,9.1,2429,0.919,8,7.2,0.935,100.7,3504,3551,49.7,2646,2636,50.1,167.9,155.6,145,128,5,1626,1621,50.1,389,331,54,64,14.1,52,13.6
7,Edmonton Oilers*,26.7,82,47,26,9,103,0.628,243,207,4,5,0.37,-0.06,5.49,183,159,56,245,22.86,43,223,80.72,4,5,9,9.5,2547,9.5,2416,0.914,7,7.6,0.932,100.9,3664,3667,50,2740,2637,51,191.4,173.4,166,140,8,1731,1652,51.2,377,364,50.9,70,15.7,68,15.7
8,Montreal Canadiens*,28.8,82,47,26,9,103,0.628,223,198,3,2,0.31,-0.01,5.13,173,145,45,230,19.57,47,249,81.12,5,6,9.3,7.9,2459,9.1,2429,0.918,5,7,0.937,100.7,3939,3558,52.5,2836,2574,52.4,170.1,160.8,153,129,15,1634,1506,52,401,355,53,70,14.9,37,9.4
9,New York Rangers*,28.3,82,48,28,6,102,0.622,253,216,3,4,0.47,0.03,5.72,197,166,47,232,20.26,45,224,79.91,9,5,7.2,8.3,2438,10.4,2465,0.912,7,8.1,0.929,101,3524,3825,48,2669,2801,48.8,167.7,179.2,167,154,25,1597,1674,48.8,375,389,49.1,70,15.7,67,14.7
10,St. Louis Blues*,28,82,46,29,7,99,0.604,233,216,2,2,0.17,-0.04,5.48,180,171,50,235,21.28,40,263,84.79,3,5,9,8.4,2330,10,2327,0.907,8,7.8,0.929,100.7,3415,3390,50.2,2543,2495,50.5,155.1,148.2,155,138,10,1520,1478,50.7,290,290,50,52,15.2,50,14.7
11,San Jose Sharks*,29.6,82,46,29,7,99,0.604,219,200,2,1,0.21,-0.03,5.11,171,153,41,246,16.67,41,212,80.66,7,6,7.8,8.5,2453,8.9,2269,0.912,3,7.4,0.93,100.3,3857,3688,51.1,2795,2576,52,169.8,150.5,153,135,-1,1609,1498,51.8,414,354,53.9,55,11.7,56,13.7
12,Ottawa Senators*,28.8,82,44,28,10,98,0.598,206,210,6,4,-0.01,0.01,5.07,156,157,43,254,16.93,50,247,79.76,7,3,10.3,10.5,2463,8.4,2467,0.915,10,6.6,0.931,99.7,3595,3807,48.6,2616,2745,48.8,153.8,154.8,135,141,-5,1410,1553,47.6,330,319,50.8,49,12.9,38,10.6
13,Boston Bruins*,28.8,82,44,31,7,95,0.579,232,209,2,3,0.27,0,5.38,169,165,53,244,21.72,38,266,85.71,10,6,10.1,9.8,2721,8.5,2194,0.905,8,6.3,0.92,98.4,3912,3239,54.7,2946,2381,55.3,178.1,149.4,142,147,-34,1706,1409,54.8,422,342,55.2,63,13,74,17.8
14,Toronto Maple Leafs*,26.2,82,40,27,15,95,0.579,250,234,1,8,0.11,0,5.9,186,183,57,244,23.36,44,251,82.47,6,7,9.7,10,2617,9.6,2673,0.912,5,7.7,0.928,100.5,3936,3873,50.4,2940,2966,49.8,188,182.3,169,161,2,1889,1758,51.8,399,398,50.1,74,15.6,76,16
15,New York Islanders,28.4,82,41,29,12,94,0.573,239,238,2,4,0.03,0.05,5.82,199,190,35,234,14.96,40,227,82.38,5,7,7.9,7.9,2480,9.6,2616,0.909,5,8.2,0.924,100.6,3696,4037,47.8,2715,2936,48,180.7,187,178,170,14,1648,1782,48,374,384,49.3,62,14.2,72,15.8
16,Nashville Predators*,27.9,82,41,29,12,94,0.573,238,220,2,4,0.16,-0.04,5.59,177,168,49,259,18.92,46,241,80.91,12,6,10.2,10.7,2557,9.3,2472,0.911,4,7.3,0.932,100.4,3801,3600,51.4,2815,2707,51,162.6,154.3,160,142,10,1590,1565,50.4,307,304,50.2,48,13.5,58,16
17,Tampa Bay Lightning,26.8,82,42,30,10,94,0.573,230,224,4,3,0.09,0.01,5.54,164,168,62,272,22.79,48,258,81.4,4,8,10.7,11.4,2452,9.4,2492,0.91,3,6.9,0.929,99.8,3596,3418,51.3,2694,2627,50.6,162.7,167.1,141,145,0,1607,1500,51.7,331,300,52.5,51,13.4,53,15
18,Calgary Flames*,28.3,82,45,33,4,94,0.573,222,219,4,2,0.02,-0.04,5.38,162,163,52,258,20.16,51,277,81.59,8,5,11.7,10.7,2388,9.3,2354,0.907,5,7.1,0.926,99.7,3488,3417,50.5,2548,2541,50.1,154.8,156.8,141,145,-2,1481,1481,50,317,350,47.5,58,15.5,59,14.4
19,Philadelphia Flyers,27.6,82,39,33,10,88,0.537,212,231,7,5,-0.17,0.04,5.4,154,172,54,277,19.49,50,247,79.76,4,9,10.3,11.1,2585,8.2,2334,0.901,5,6.3,0.923,98.5,3756,3594,51.1,2686,2544,51.4,153,145.6,128,154,-33,1496,1479,50.3,332,302,52.4,58,14.9,48,13.7
20,Carolina Hurricanes,26.8,82,36,31,15,87,0.53,212,230,3,6,-0.21,0.05,5.39,161,192,41,231,17.75,32,202,84.16,10,6,5.8,6.6,2493,8.5,2320,0.901,3,6.8,0.919,98.8,3834,3642,51.3,2806,2758,50.4,166.5,168,145,171,-25,1682,1608,51.1,387,378,50.6,46,10.6,74,16.4
21,Winnipeg Jets,26.1,82,40,35,7,87,0.53,246,255,3,1,-0.11,-0.03,6.11,188,184,48,264,18.18,62,275,77.45,10,9,10.2,9.7,2448,10,2546,0.9,5,7.8,0.921,99.9,3403,3502,49.3,2553,2618,49.4,163.1,159,157,167,-14,1501,1489,50.2,340,314,52,65,16,60,16
22,Los Angeles Kings,29.1,82,39,35,8,86,0.524,199,201,2,4,-0.07,-0.02,4.88,148,160,46,241,19.09,38,245,84.49,5,3,9.2,9.3,2553,7.8,2120,0.905,9,6,0.925,98.5,3973,3253,55,2928,2403,54.9,158.1,137.4,129,135,-27,1710,1444,54.2,359,282,56,45,11.1,48,14.5
23,Florida Panthers,28.6,82,35,36,11,81,0.494,205,231,5,6,-0.3,0.03,5.32,152,187,45,265,16.98,36,245,85.31,8,8,9.9,9.9,2644,7.8,2595,0.911,4,6.2,0.927,98.9,3520,3446,50.5,2718,2698,50.2,150.4,170.7,130,160,-10,1473,1510,49.4,290,354,45,40,12.1,63,15.1
24,Detroit Red Wings,28.4,82,33,36,13,79,0.482,198,244,9,0,-0.41,0.04,5.39,157,190,38,252,15.08,45,235,80.85,3,9,8.8,9.2,2335,8.5,2507,0.903,4,7.3,0.923,99.6,3320,3564,48.2,2546,2724,48.3,169.3,173,144,162,-14,1551,1587,49.4,327,362,47.5,57,14.8,65,15.2
25,Dallas Stars,28.5,82,34,37,11,79,0.482,222,260,1,2,-0.48,-0.01,5.88,171,184,46,257,17.9,65,249,73.9,5,11,9.9,9.8,2505,8.9,2439,0.893,3,7,0.925,99.5,3852,3847,50,2815,2748,50.6,176.2,177.4,149,155,-5,1747,1698,50.7,401,403,49.9,71,15,67,14.3
26,Buffalo Sabres,26.4,82,33,37,12,78,0.476,199,231,2,6,-0.41,0.03,5.24,139,174,57,233,24.46,53,237,77.64,3,4,9,8.6,2491,8,2813,0.918,3,6,0.933,99.4,3486,3896,47.2,2675,2978,47.3,160,173.2,126,156,-17,1425,1590,47.3,318,373,46,48,13.1,56,13.1
27,New Jersey Devils,28.1,82,28,40,14,70,0.427,180,241,3,3,-0.67,0.08,5.13,130,176,44,251,17.53,53,261,79.69,6,12,10,9.7,2279,7.9,2572,0.906,3,6.1,0.929,99,3188,3478,47.8,2465,2677,47.9,153.5,173.2,115,150,-15,1402,1570,47.2,289,309,48.3,44,13.2,54,14.9
28,Arizona Coyotes,27.3,82,30,42,10,70,0.427,191,258,6,2,-0.76,0.01,5.48,145,192,38,235,16.17,59,260,77.31,8,7,9.9,8.6,2281,8.4,2797,0.908,3,6.8,0.93,99.8,3412,4165,45,2563,3204,44.4,142.4,193.6,133,168,16,1362,1910,41.6,311,444,41.2,54,14.8,64,12.6
29,Vancouver Canucks,28.8,82,30,43,9,69,0.421,178,241,4,2,-0.73,0.01,5.11,144,183,32,227,14.1,52,223,76.68,2,6,7.9,7.9,2273,7.8,2605,0.907,3,6.6,0.929,99.5,3398,3696,47.9,2486,2834,46.7,155.4,186.3,128,159,0,1474,1744,45.8,334,387,46.3,59,15,65,14.4
30,Colorado Avalanche,27.6,82,22,56,4,48,0.293,165,276,1,2,-1.32,0.05,5.38,130,210,30,239,12.55,64,274,76.64,5,2,9.4,8.2,2303,7.2,2603,0.894,3,5.9,0.914,97.4,3443,3648,48.6,2532,2790,47.6,140,168.2,114,194,-52,1393,1561,47.2,278,315,46.9,32,10.3,60,16
