Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Year
63,Marek Mazanec\mazanma01,22,NSH,25,22,8,10,4,64,650,586,0.902,2.8,2,3,1370,11,0.5,6,114,-7.99,0,0,0,0,2014
64,Curtis McElhinney\mcelhcu01,30,CBJ,28,21,10,11,1,64,703,639,0.909,2.7,2,3.8,1423,12,0.571,3,106,-3.43,0,1,1,0,2014
65,Mike McKenna\mckenmi01,30,CBJ,4,3,1,1,1,11,114,103,0.904,3.01,0,0.5,219,0,0,0,,,0,0,0,0,2014
66,Ryan Miller\millery01,33,TOT,59,59,25,30,4,154,1885,1731,0.918,2.64,1,12.4,3501,36,0.61,7,95,8.42,0,2,2,0,2014
66,Ryan Miller\millery01,33,BUF,40,40,15,22,3,108,1411,1303,0.923,2.72,0,10.2,2384,27,0.675,4,89,13.58,0,2,2,0,2014
66,Ryan Miller\millery01,33,STL,19,19,10,8,1,46,474,428,0.903,2.47,1,2.2,1117,9,0.474,3,113,-5.16,0,0,0,0,2014
67,Al Montoya\montoal01,28,WPG,28,22,13,8,3,59,737,678,0.92,2.3,2,5,1541,13,0.591,1,93,4.5,0,0,0,2,2014
68,Petr Mrazek\mrazepe01,21,DET,9,6,2,4,0,13,178,165,0.927,1.74,2,1.4,449,4,0.667,1,,,0,0,0,0,2014
69,Evgeni Nabokov\nabokev01,38,NYI,40,39,15,14,8,103,1085,982,0.905,2.74,4,5.4,2254,16,0.41,8,110,-9.51,0,1,1,4,2014
70,Michal Neuvirth\neuvimi01,25,TOT,15,13,4,8,2,41,517,476,0.921,2.78,0,3.6,884,9,0.692,2,92,3.55,0,1,1,0,2014
70,Michal Neuvirth\neuvimi01,25,WSH,13,11,4,6,2,36,419,383,0.914,2.82,0,2.5,767,7,0.636,2,100,0.1,0,1,1,0,2014
70,Michal Neuvirth\neuvimi01,25,BUF,2,2,0,2,0,5,98,93,0.949,2.56,0,1,117,2,1,0,,,0,0,0,0,2014
71,Antti Niemi\niemian02,30,SJS,64,64,39,17,7,149,1705,1556,0.913,2.39,4,10.1,3740,30,0.469,9,101,-2.09,0,2,2,0,2014
