Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Nashville Predators*,28.4,82,53,18,11,117,0.713,261,204,6,7,0.71,0.03,5.67,193,145,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,11,7.6,0.939,101.6,3854,3629,51.5,2857,2689,51.5,170.8,178.1,168,128,47,1627,1626,50,335,361,48.1,69,17.1,42,10.4,2018
Winnipeg Jets*,26.8,82,52,20,10,114,0.695,273,216,4,2,0.74,0.02,5.96,200,159,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,7,7.9,0.931,101,3815,3590,51.5,2847,2657,51.7,176.6,156.9,176,144,12,1629,1513,51.8,347,322,51.9,61,15,52,13.9,2018
Tampa Bay Lightning*,27.5,82,54,23,5,113,0.689,290,234,6,2,0.66,-0.07,6.39,215,167,66,276,23.91,64,267,76.03,9,3,9.2,9.5,2680,10.8,2683,0.913,8,8.6,0.934,102,3879,3640,51.6,2925,2762,51.4,183.4,176.4,196,146,43,1792,1640,52.2,371,291,56,70,15.9,50,14.7,2018
Boston Bruins*,28.6,82,50,20,12,112,0.683,267,211,3,3,0.62,-0.07,5.83,197,161,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,4,7.3,0.929,100.2,3916,3373,53.7,2948,2532,53.8,188.3,159.3,166,138,-1,1836,1539,54.4,387,348,52.7,73,15.9,58,14.3,2018
Vegas Golden Knights*,28,82,51,24,7,109,0.665,268,225,4,3,0.52,-0.01,6.01,207,176,53,248,21.37,44,237,81.43,8,5,6.8,7.5,2686,10,2521,0.911,5,7.8,0.927,100.5,3885,3755,50.9,2884,2802,50.7,182.3,175,175,157,11,1813,1669,52.1,324,319,50.4,55,14.5,61,16.1,2018
Toronto Maple Leafs*,28.3,82,49,26,7,105,0.64,270,230,7,2,0.49,-0.06,6.1,210,182,56,224,25,43,231,81.39,4,5,7,6.9,2640,10.2,2776,0.917,8,8.3,0.933,101.6,3967,3999,49.8,2928,3089,48.7,199.8,186.9,187,158,16,1975,1809,52.2,439,378,53.7,76,14.8,57,13.1,2018
Washington Capitals*,28.4,82,49,26,7,105,0.64,256,238,3,1,0.21,-0.04,6.02,197,177,55,244,22.54,53,269,80.3,4,8,9.8,9.2,2379,10.8,2613,0.909,3,8.5,0.93,101.4,3618,3923,48,2659,2958,47.3,159.2,176.7,171,154,35,1592,1775,47.3,302,404,42.8,50,14.2,70,14.8,2018
Anaheim Ducks*,28.7,82,44,25,13,101,0.616,231,209,4,7,0.24,0.01,5.37,183,159,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,9,7.5,0.937,101.2,3665,3883,48.6,2753,2928,48.5,164.6,181.6,157,137,37,1642,1819,47.4,352,375,48.4,62,15,51,12,2018
Minnesota Wild*,29.5,82,45,26,11,101,0.616,250,229,3,3,0.29,0.04,5.84,194,172,49,240,20.42,51,272,81.25,7,6,8.3,7.6,2476,10.1,2569,0.911,6,7.6,0.932,100.7,3442,3850,47.2,2607,2809,48.1,172,150.9,160,145,-6,1530,1464,51.1,353,295,54.5,62,14.9,57,16.2,2018
San Jose Sharks*,28.8,82,45,27,10,100,0.61,247,226,5,3,0.28,0,5.77,186,189,53,257,20.62,34,224,84.82,8,3,7.7,8,2702,9.1,2488,0.909,6,7.1,0.922,99.3,4073,3929,50.9,2968,2773,51.7,185,178.7,159,166,-13,1729,1722,50.1,434,375,53.6,70,13.9,70,15.7,2018
