Teams,AvAge,GP,W,L,OL,PTS,PTS.,GF,GA,SOW,SOL,SRS,SOS,TGpG,EVGF,EVGA,PP,PPO,PP.,PPA,PPOA,PK.,SH,SHA,PIMpG,oPIMpG,S,S.,SA,SV.,SO,EVS.,EVSV.,EVPDO,EVCF,EVCA,EVCF.,EVFF,EVFA,EVFF.,EVxGF,EVxGA,EVaGF,EVaGA,EVaxDiff,EVSCF,EVSCA,EVSCF.,EVHDF,EVHDA,EVHDF.,EVHDGF,EVHDC.,EVHDGA,EVHDCO.,Year
Buffalo Sabres,27.1,82,25,45,12,62,0.378,198,278,1,2,-0.98,0.01,5.8,140,216,49,257,19.07,52,235,77.87,9,10,8.2,8.8,2557,7.7,2681,0.896,3,5.8,0.923,98,3381,3720,47.6,2602,2868,47.6,143.4,168.7,119,176,-32,1387,1553,47.2,295,337,46.7,42,12.5,74,18,2018
Tampa Bay Lightning*,27.1,82,62,16,4,128,0.78,319,221,6,1,1.21,-0.05,6.59,233,178,74,262,28.24,40,267,85.02,12,3,9.5,9.4,2620,12.2,2633,0.916,6,8.9,0.927,101.7,3826,3595,51.6,2882,2733,51.3,194.7,176.9,206,157,31,1769,1687,51.2,412,332,55.4,77,15.7,65,16.4,2019
Boston Bruins*,28.7,82,49,24,9,107,0.652,257,212,2,3,0.52,-0.01,5.72,185,148,65,251,25.9,49,244,79.92,7,15,9.7,9.9,2680,9.6,2416,0.912,9,6.9,0.935,100.4,3872,3421,53.1,2955,2553,53.6,175.5,167.3,157,128,21,1638,1517,51.9,336,350,49,60,15.2,52,12.9,2019
Calgary Flames*,27.7,82,50,25,7,107,0.652,289,223,0,4,0.7,-0.06,6.24,218,166,53,275,19.27,50,246,79.67,18,7,8.5,9.8,2656,10.9,2302,0.903,3,8.4,0.924,100.8,3953,3386,53.9,2903,2560,53.1,192,161.9,188,149,9,1778,1550,53.4,384,351,52.2,79,17.1,51,12.7,2019
Washington Capitals*,28.8,82,48,26,8,104,0.634,274,248,4,1,0.35,-0.01,6.37,220,188,49,236,20.76,55,261,78.93,5,5,8.9,8.6,2492,11,2584,0.904,4,9.2,0.927,101.8,3715,3860,49,2768,2884,49,167.5,185.2,197,161,54,1644,1758,48.3,333,408,44.9,52,13.5,58,12.4,2019
New York Islanders*,28.4,82,48,27,7,103,0.628,223,191,5,5,0.38,-0.01,5.05,184,146,33,227,14.54,44,219,79.91,6,1,7.9,7.7,2360,9.4,2534,0.925,11,7.9,0.94,101.9,3548,3867,47.8,2616,2803,48.3,187.7,180.5,162,128,27,1683,1722,49.4,404,370,52.2,83,17,63,14.5,2019
San Jose Sharks*,29.4,82,46,27,9,101,0.616,289,258,0,3,0.3,-0.04,6.67,223,204,57,241,23.65,45,234,80.77,9,9,9.1,9.4,2708,10.7,2323,0.889,5,8.3,0.906,98.9,4138,3404,54.9,3021,2515,54.6,197.4,173.2,193,186,-17,1812,1568,53.6,449,340,56.9,72,13.8,63,15.6,2019
Toronto Maple Leafs*,27.5,82,46,28,8,100,0.61,286,249,0,2,0.42,-0.01,6.52,235,199,46,211,21.8,41,204,79.9,5,9,6.1,6.7,2736,10.5,2717,0.908,3,8.6,0.929,101.6,4396,4105,51.7,3184,3183,50,211.5,194.9,206,171,18,2027,1855,52.2,419,379,52.5,60,12.5,60,13.7,2019
Nashville Predators*,28.9,82,47,29,6,100,0.61,236,212,4,2,0.31,-0.01,5.46,195,159,33,255,12.94,45,251,82.07,8,8,8.4,9.4,2677,8.8,2460,0.914,7,7.2,0.932,100.4,3904,3571,52.2,2952,2683,52.4,179.9,176.1,165,143,18,1674,1623,50.8,352,370,48.8,57,13.9,50,11.9,2019
Pittsburgh Penguins*,28.4,82,44,26,12,100,0.61,271,238,2,3,0.38,-0.01,6.21,203,178,56,228,24.56,45,222,79.73,12,15,8.4,8,2731,9.9,2729,0.913,7,7.6,0.935,101.2,3919,3964,49.7,2957,2943,50.1,196.8,179.2,182,150,14,1812,1666,52.1,420,361,53.8,61,12.7,43,10.6,2019
St. Louis Blues*,28,82,45,28,9,99,0.604,244,220,3,3,0.28,-0.01,5.66,189,170,50,237,21.1,43,232,81.47,5,7,7.6,8.2,2604,9.4,2345,0.906,9,7.5,0.927,100.2,3718,3501,51.5,2786,2571,52,196.5,165.8,167,147,-11,1759,1608,52.2,385,305,55.8,59,13.3,59,16.2,2019
Winnipeg Jets*,26.6,82,47,30,5,99,0.604,270,243,2,1,0.33,-0.02,6.26,198,184,62,250,24.8,52,250,79.2,10,7,9.3,8.7,2557,10.6,2741,0.911,3,7.8,0.929,100.6,3693,3853,48.9,2761,2900,48.8,168.2,178.7,168,163,16,1528,1675,47.7,337,386,46.6,66,16.4,69,15.2,2019
Carolina Hurricanes*,26.8,82,46,29,7,99,0.604,243,221,2,2,0.26,-0.01,5.66,191,169,44,247,17.81,44,239,81.59,8,8,7.5,8.7,2822,8.6,2343,0.906,6,6.7,0.927,99.4,4276,3528,54.8,3217,2656,54.8,199.2,157.3,161,148,-29,1914,1557,55.1,481,359,57.3,60,11.1,56,13.5,2019
Columbus Blue Jackets*,26.6,82,47,31,4,98,0.598,256,231,2,1,0.31,-0.01,5.94,214,195,34,221,15.38,30,200,85,8,6,6.2,6.8,2592,9.9,2418,0.904,9,8.1,0.922,100.3,3748,3717,50.2,2910,2788,51.1,197.6,189.1,187,170,9,1761,1637,51.8,368,363,50.3,58,13.6,49,11.9,2019
Montreal Canadiens,27.9,82,44,30,8,96,0.585,246,236,3,0,0.16,0,5.88,210,186,31,234,13.25,46,241,80.91,5,4,8.3,8.3,2796,8.8,2548,0.907,4,7.5,0.925,100.1,4362,3694,54.1,3139,2736,53.4,196.9,170.7,188,163,-1,1819,1587,53.4,427,342,55.5,67,13.6,58,14.5,2019
Vegas Golden Knights*,29.2,82,43,32,7,93,0.567,246,228,3,2,0.19,-0.04,5.78,196,182,39,232,16.81,44,230,80.87,11,2,7.1,7.2,2814,8.7,2399,0.905,9,7.2,0.922,99.4,4184,3515,54.3,3068,2595,54.2,201.2,171.9,173,162,-18,1878,1561,54.6,455,359,55.9,72,13.7,60,14.3,2019
Dallas Stars*,28.3,82,43,32,7,93,0.567,209,200,1,2,0.09,0,4.99,160,157,45,214,21.03,41,238,82.77,4,2,7.7,7.3,2519,8.3,2591,0.923,10,6.4,0.939,100.3,3632,3887,48.3,2664,2836,48.4,182.5,175.4,136,134,-5,1687,1604,51.3,410,341,54.6,57,12.2,44,11.4,2019
Colorado Avalanche*,27,82,38,30,14,90,0.549,258,244,2,2,0.17,-0.01,6.12,186,181,63,286,22.03,58,272,78.68,9,5,9.4,9.6,2676,9.6,2619,0.907,5,7.1,0.928,99.9,3695,3716,49.9,2727,2701,50.2,181.9,177,157,154,-2,1692,1598,51.4,363,382,48.7,63,14.8,63,14.2,2019
Florida Panthers,28,82,36,32,14,86,0.524,264,273,3,7,-0.14,0.02,6.55,189,217,72,269,26.77,43,230,81.3,3,13,8.4,9.2,2705,9.8,2516,0.891,1,7.3,0.914,98.7,3642,3730,49.4,2792,2795,50,169.9,181.7,162,190,-16,1581,1630,49.2,315,393,44.5,69,18,68,14.8,2019
Arizona Coyotes,27.2,82,39,35,8,86,0.524,209,220,4,3,-0.14,-0.02,5.23,151,177,42,258,16.28,34,226,84.96,16,9,7.1,8.2,2522,8.3,2526,0.913,6,6.2,0.927,99,3738,3908,48.9,2769,2837,49.4,165,177.2,132,157,-13,1587,1683,48.5,387,400,49.2,33,7.9,66,14.2,2019
Chicago Blackhawks,28.5,82,36,34,12,84,0.512,267,291,3,1,-0.25,0.02,6.8,213,221,48,238,20.17,63,231,72.73,6,7,7.3,7.1,2669,10,2852,0.898,2,7.9,0.925,100.4,3833,3940,49.3,2800,2988,48.4,185.3,219.3,183,185,32,1693,1948,46.5,320,486,39.7,52,14,83,14.6,2019
Minnesota Wild,29.5,82,37,36,9,83,0.506,210,233,1,4,-0.3,0.02,5.4,156,185,49,241,20.33,44,240,81.67,5,4,8,8.5,2567,8.2,2419,0.904,2,6.4,0.923,98.6,3812,3670,50.9,2868,2662,51.9,173.2,149.2,141,156,-39,1666,1409,54.2,373,281,57,50,11.8,47,14.3,2019
Philadelphia Flyers,26.6,82,37,37,8,82,0.5,241,280,3,1,-0.42,0.03,6.35,197,218,40,234,17.09,51,237,78.48,4,11,8.9,8.3,2583,9.3,2665,0.895,3,7.7,0.917,99.4,3698,3939,48.4,2739,2863,48.9,169.1,176.2,165,191,-19,1539,1635,48.5,377,384,49.5,84,18.2,67,14.9,2019
Vancouver Canucks,26.9,82,35,36,11,81,0.494,219,248,6,6,-0.35,0.01,5.7,169,192,43,251,17.13,48,254,81.1,7,8,8.8,8.7,2433,9,2597,0.905,1,7.2,0.923,99.5,3553,3863,47.9,2651,2867,48,159.6,190.4,146,175,2,1543,1839,45.6,314,393,44.4,43,12,73,15.7,2019
Anaheim Ducks,27.5,82,35,37,10,80,0.488,196,248,3,3,-0.63,0.01,5.41,155,183,36,212,16.98,55,271,79.7,5,10,9,7.2,2271,8.6,2725,0.909,4,6.9,0.931,99.9,3595,3957,47.6,2672,2984,47.2,157,196.8,136,154,22,1554,1887,45.2,316,439,41.9,40,11.2,64,12.7,2019
Edmonton Oilers,27.2,82,35,38,9,79,0.482,229,271,3,3,-0.51,0.01,6.1,172,202,47,222,21.17,62,246,74.8,10,7,9.2,7.7,2392,9.6,2599,0.896,5,7.1,0.921,99.3,3552,3850,48,2629,2876,47.8,171.7,178.5,146,179,-26,1596,1707,48.3,341,387,46.8,53,13.5,58,13,2019
New York Rangers,27.4,82,32,36,14,78,0.476,221,267,6,5,-0.52,0.03,5.95,170,205,44,227,19.38,58,266,78.2,7,4,10.4,8.5,2393,9.2,2774,0.904,2,7.2,0.925,99.7,3384,3960,46.1,2566,2969,46.4,176.8,195.4,145,173,-9,1552,1850,45.6,373,407,47.8,59,13.7,61,13,2019
Buffalo Sabres,26.6,82,33,39,10,76,0.463,221,268,5,3,-0.51,0.04,5.96,172,218,46,236,19.49,41,215,80.93,3,9,7,7.5,2697,8.2,2704,0.901,2,6.7,0.922,98.9,3754,3759,50,2913,2934,49.8,173.7,192.5,154,185,-12,1612,1720,48.4,319,357,47.2,56,14.9,61,14.6,2019
