Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
707,Brett Seney\seneybr01,23,NJD,LW,2,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,1,0,20,09:56,0,2,0,2,0
708,Zachary Senyshyn\senysza01,22,BOS,RW,4,0,2,2,1,0,0.2,0,0,0,0,2,0,0,1,0,34,08:26,1,2,1,0,100
709,Mikhail Sergachev\sergami01,21,TBL,D,60,9,21,30,15,45,5.7,4,5,0,0,16,5,0,95,9.5,1190,19:50,87,94,0,0,
710,Damon Severson\severda01,25,NJD,D,58,7,18,25,-17,46,3.3,5,2,0,1,12,6,0,97,7.2,1320,22:46,79,68,0,0,
711,Michael Sgarbossa\sgarbmi01,27,WSH,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,08:07,0,3,3,3,50
712,Kevin Shattenkirk\shattke01,31,TBL,D,60,7,23,30,24,28,6.2,6,1,0,0,18,5,0,111,6.3,1140,19:00,59,53,0,0,
713,Andrew Shaw\shawan01,28,CHI,C,26,3,7,10,-4,33,0.5,2,1,0,0,6,1,0,46,6.5,376,14:27,9,74,42,51,45.2
714,Logan Shaw\shawlo01,28,WPG,RW,32,2,1,3,-1,0,0.1,2,0,0,0,1,0,0,16,12.5,218,06:49,12,23,11,9,55
715,Riley Sheahan\sheahri01,28,EDM,C,54,7,6,13,-5,6,0.8,6,0,1,1,5,0,1,58,12.1,686,12:42,21,21,341,349,49.4
716,Conor Sheary\shearco01,27,BUF,LW,52,9,10,19,-2,8,1.7,8,1,0,1,8,2,0,86,10.5,674,12:58,23,25,0,0,
717,Kole Sherwood\sherwko01,23,CBJ,RW,3,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,20,06:38,1,10,0,1,0
718,Devin Shore\shorede01,25,ANA,C,36,3,6,9,-6,8,0.3,3,0,0,1,4,2,0,44,6.8,435,12:06,13,44,37,37,50
719,Nick Shore\shoreni01,27,TOT,C,52,3,2,5,0,16,0,3,0,0,0,2,0,0,34,8.8,472,09:04,16,47,170,144,54.1
719,Nick Shore\shoreni01,27,WPG,C,31,1,1,2,-2,4,-0.2,1,0,0,0,1,0,0,27,3.7,278,08:58,9,30,84,75,52.8
719,Nick Shore\shoreni01,27,TOR,C,21,2,1,3,2,12,0.2,2,0,0,0,1,0,0,7,28.6,194,09:13,7,17,86,69,55.5
720,Jonas Siegenthaler\siegejo01,22,WSH,D,58,2,7,9,7,39,2,2,0,0,1,7,0,0,42,4.8,920,15:51,94,48,0,0,
721,Dylan Sikura\sikurdy01,24,CHI,C,9,1,2,3,1,0,0.3,1,0,0,0,2,0,0,10,10,89,09:54,2,0,0,3,0
722,Jakob Silfverberg\silfvja01,29,ANA,LW,54,18,16,34,2,14,4,13,3,2,1,13,3,0,122,14.8,940,17:24,29,26,8,31,20.5
723,Radim Simek\simekra01,27,SJS,D,37,1,6,7,-13,10,0.7,1,0,0,0,6,0,0,26,3.8,595,16:05,38,76,0,0,
