Rk,Player,Age,Tm,Pos,GP,G,A,PTS,+/-,PIM,PS,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,BLK,HIT,FOW,FOL,FO%
799,Dominic Toninato\tonindo01,25,FLA,C,40,4,7,11,4,31,0.8,4,0,0,0,7,0,0,30,13.3,449,11:14,25,45,120,128,48.4
800,Yakov Trenin\treniya01,23,NSH,C,17,2,4,6,1,7,0.5,2,0,0,0,4,0,0,23,8.7,171,10:04,7,35,2,1,66.7
801,Vincent Trocheck\trochvi01,26,FLA,C,52,9,24,33,-3,29,2.4,8,0,1,0,19,5,0,126,7.1,888,17:05,33,79,354,317,52.8
802,Zach Trotman\trotmza01,29,PIT,D,5,0,0,0,1,4,0.1,0,0,0,0,0,0,0,6,0,78,15:36,7,14,0,0,
803,Jacob Trouba\troubja01,25,NYR,D,58,7,17,24,-12,46,3.2,3,4,0,1,11,4,2,142,4.9,1329,22:55,110,144,0,0,
804,Alexander True\trueal01,22,SJS,F,6,0,3,3,2,0,0.3,0,0,0,0,3,0,0,5,0,60,09:58,2,10,18,14,56.3
805,Alex Tuch\tuchal01,23,VEG,RW,42,8,9,17,-10,8,1.2,5,3,0,2,5,4,0,98,8.2,614,14:37,20,58,8,20,28.6
806,Kyle Turris\turriky01,30,NSH,C,51,9,19,28,-4,20,2.2,7,2,0,4,12,7,0,70,12.9,769,15:05,18,13,203,222,47.8
807,Carsen Twarynski\twaryca01,22,PHI,F,15,1,0,1,-2,4,-0.1,1,0,0,0,0,0,0,14,7.1,160,10:41,8,40,0,2,0
808,T.J. Tynan\tynant.01,27,COL,C,15,0,1,1,-1,2,-0.2,0,0,0,0,1,0,0,7,0,130,08:39,3,7,3,15,16.7
809,Urho Vaakanainen\vaakaur01,21,BOS,D,5,0,0,0,2,0,0.2,0,0,0,0,0,0,0,2,0,84,16:51,3,8,0,0,
810,James van Riemsdyk\vanrija01,30,PHI,LW,59,18,20,38,2,8,4.3,14,4,0,2,16,4,0,141,12.8,896,15:12,15,23,6,13,31.6
811,Trevor van Riemsdyk\vanritr01,28,CAR,D,39,1,5,6,-7,8,0.6,1,0,0,0,5,0,0,44,2.3,576,14:46,30,14,0,0,
812,Sami Vatanen\vatansa01,28,NJD,D,47,5,18,23,-12,22,3,4,1,0,0,8,9,1,95,5.3,1022,21:45,80,50,0,0,
813,Frank Vatrano\vatrafr01,25,FLA,LW,59,15,15,30,-5,24,2.6,11,2,2,4,15,0,0,135,11.1,893,15:09,38,83,12,26,31.6
814,Lukas Vejdemo\vejdelu01,24,MTL,C,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,30,07:30,1,3,0,0,
815,Carter Verhaeghe\verhaca01,24,TBL,C,47,8,4,12,-7,8,0.9,7,1,0,1,4,0,0,53,15.1,441,09:22,6,27,14,17,45.2
816,Max Veronneau\veronma01,24,OTT,RW,4,0,0,0,-2,0,-0.1,0,0,0,0,0,0,0,3,0,34,08:25,2,2,0,0,
817,Jimmy Vesey\veseyji02,26,BUF,LW,55,9,10,19,14,15,2.1,8,0,1,2,9,1,0,85,10.6,777,14:08,13,35,0,4,0
818,Jake Virtanen\virtaja01,23,VAN,RW,59,16,16,32,-1,39,3.4,11,5,0,6,13,3,0,127,12.6,768,13:01,23,88,4,11,26.7
819,Marc-Edouard Vlasic\vlasima01,32,SJS,D,59,5,8,13,-7,10,3,4,0,1,1,8,0,0,60,8.3,1196,20:16,80,32,0,0,
820,Alexander Volkov\volkoal01,22,TBL,RW,9,0,1,1,-6,6,-0.3,0,0,0,0,1,0,0,7,0,92,10:16,2,10,1,3,25
821,Jakub Voracek\voracja01,30,PHI,RW,59,11,32,43,12,29,4.3,8,3,0,3,22,10,0,108,10.2,1006,17:03,20,14,7,13,35
822,Mikhail Vorobyev\vorobmi01,23,PHI,C,20,1,2,3,-5,6,-0.1,1,0,0,0,2,0,0,15,6.7,209,10:26,3,4,78,62,55.7
823,Jakub Vrana\vranaja01,23,WSH,LW,59,23,26,49,5,18,6,22,1,0,6,15,11,0,164,14,879,14:53,15,26,4,5,44.4
824,Austin Wagner\wagneau01,22,LAK,LW,54,4,5,9,-5,32,0.2,4,0,0,0,5,0,0,110,3.6,649,12:01,14,126,2,6,25
825,Chris Wagner\wagnech01,28,BOS,C,58,4,4,8,-8,36,-0.3,3,0,1,0,4,0,0,67,6,724,12:29,27,162,107,120,47.1
826,Oliver Wahlstrom\wahlsol01,19,NYI,RW,9,0,0,0,-2,4,-0.2,0,0,0,0,0,0,0,9,0,93,10:17,4,10,0,3,0
827,Nathan Walker\walkena01,25,STL,C,5,1,1,2,-2,4,0.1,1,0,0,0,1,0,0,6,16.7,56,11:08,1,10,1,0,100
828,Sean Walker\walkese01,25,LAK,D,59,5,16,21,-7,20,3.6,5,0,0,0,13,3,0,109,4.6,1117,18:56,71,71,0,0,
829,Lucas Wallmark\wallmlu01,24,CAR,C,57,10,12,22,0,16,1.9,7,3,0,0,8,3,1,76,13.2,738,12:57,21,48,333,329,50.3
830,Jake Walman\walmaja01,23,STL,D,1,0,0,0,1,0,0.1,0,0,0,0,0,0,0,1,0,11,11:04,1,0,0,0,
831,Austin Watson\watsoau01,28,NSH,LW,49,6,8,14,-8,65,0.6,6,0,0,1,6,0,2,46,13,579,11:49,44,119,6,6,50
832,Jordan Weal\wealjo01,27,MTL,C,40,6,4,10,-8,14,0.4,4,2,0,2,3,1,0,66,9.1,534,13:21,21,28,74,79,48.4
833,Shea Weber\webersh01,34,MTL,D,55,13,21,34,8,26,6.6,10,3,0,2,16,5,0,157,8.3,1336,00:18,97,94,0,0,
834,Yannick Weber\weberya01,31,NSH,D,38,1,2,3,1,8,0.6,1,0,0,1,2,0,0,44,2.3,533,14:02,33,35,0,0,
835,Anton Wedin\wedinan01,26,CHI,F,4,0,0,0,1,4,0,0,0,0,0,0,0,0,2,0,36,09:04,1,5,0,0,
836,MacKenzie Weegar\weegama01,26,FLA,D,35,4,10,14,0,24,2,4,0,0,0,10,0,0,56,7.1,685,19:34,50,58,0,0,
837,Dale Weise\weiseda01,31,MTL,RW,16,1,3,4,1,16,0.3,1,0,0,0,3,0,0,11,9.1,148,09:15,7,50,0,0,
838,Alexander Wennberg\wennbal01,25,CBJ,C,52,5,15,20,0,16,1.4,4,1,0,1,11,4,0,65,7.7,860,16:32,29,16,306,347,46.9
839,Zach Werenski\werenza01,22,CBJ,D,53,18,17,35,8,10,7.9,13,4,1,4,10,7,0,150,12,1262,23:49,44,31,0,0,
840,Blake Wheeler\wheelbl01,33,WPG,RW,60,18,33,51,-8,29,4.6,13,4,1,2,17,15,1,156,11.5,1146,19:06,41,93,322,326,49.7
841,Colin White\whiteco02,23,OTT,C,52,5,10,15,-15,32,0.2,4,1,0,0,7,3,0,71,7,812,15:37,26,37,228,263,46.4
842,Colton White\whiteco03,22,NJD,D,3,0,0,0,-1,0,0,0,0,0,0,0,0,0,2,0,40,13:12,3,1,0,0,
843,Zach Whitecloud\whiteza01,23,VEG,D,7,0,0,0,3,4,0.3,0,0,0,0,0,0,0,6,0,99,14:12,6,4,0,0,
844,Justin Williams\williju01,38,CAR,RW,10,2,1,3,1,2,0.3,1,1,0,1,1,0,0,24,8.3,130,12:59,3,12,2,3,40
845,Colin Wilson\wilsoco01,30,COL,C,9,0,4,4,6,0,0.4,0,0,0,0,4,0,0,12,0,114,12:38,2,8,3,4,42.9
846,Scott Wilson\wilsosc01,27,BUF,C,6,1,1,2,1,2,0.2,1,0,0,0,1,0,0,8,12.5,70,11:38,0,3,0,0,
847,Tom Wilson\wilsoto01,25,WSH,RW,58,17,21,38,-1,77,3.7,12,4,1,4,18,2,1,131,13,1062,18:19,50,214,15,32,31.9
848,Luke Witkowski\witkolu01,29,TBL,D,12,1,2,3,-4,13,0.2,1,0,0,0,2,0,0,10,10,106,08:48,3,38,0,0,
849,Miles Wood\woodmi01,24,NJD,LW,58,10,10,20,-16,51,1.2,10,0,0,1,10,0,0,119,8.4,741,12:46,23,89,0,1,0
850,Kailer Yamamoto\yamamka01,21,EDM,RW,18,9,9,18,12,8,2.7,7,2,0,0,9,0,0,32,28.1,304,16:54,7,29,1,0,100
851,Keith Yandle\yandlke01,33,FLA,D,59,5,36,41,5,18,5.3,3,2,0,0,18,18,0,114,4.4,1174,19:54,46,17,0,1,0
852,Alexander Yelesin\yelesal01,23,CGY,D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,23,11:42,0,6,0,0,
853,Danil Yurtaykin\yurtada01,22,SJS,F,4,0,0,0,-1,0,-0.1,0,0,0,0,0,0,0,2,0,52,13:00,2,3,0,0,
854,Pavel Zacha\zachapa01,22,NJD,C,54,6,19,25,-15,10,1.2,3,1,2,0,15,2,2,78,7.7,870,16:07,18,44,212,286,42.6
855,Filip Zadina\zadinfi01,20,DET,RW,28,8,7,15,-13,2,1.3,4,4,0,1,4,3,0,60,13.3,425,15:10,10,11,1,0,100
856,Nikita Zadorov\zadorni01,24,COL,D,54,4,9,13,8,55,2.4,4,0,0,0,9,0,0,59,6.8,982,18:12,59,148,0,0,
857,Nikita Zaitsev\zaitsni01,28,OTT,D,46,1,8,9,-3,12,1.7,1,0,0,0,8,0,0,49,2,999,21:44,102,80,0,0,
858,Travis Zajac\zajactr01,34,NJD,C,58,6,15,21,-8,24,0.8,5,0,1,1,13,0,2,57,10.5,999,17:13,34,54,480,440,52.2
859,Mika Zibanejad\zibanmi01,26,NYR,C,45,25,27,52,7,14,6.3,12,10,3,4,16,9,2,153,16.3,961,21:22,35,44,468,487,49
860,Mats Zuccarello\zuccama01,32,MIN,LW,54,14,16,30,-9,18,2.6,11,3,0,2,13,3,0,86,16.3,876,16:13,34,12,8,5,61.5
861,Jason Zucker\zuckeja01,28,TOT,LW,48,16,16,32,0,19,3.5,11,5,0,3,12,4,0,83,19.3,767,15:59,20,36,12,28,30
861,Jason Zucker\zuckeja01,28,MIN,LW,45,14,15,29,-3,19,3,9,5,0,2,11,4,0,75,18.7,715,15:54,20,35,12,28,30
861,Jason Zucker\zuckeja01,28,PIT,LW,3,2,1,3,3,0,0.5,2,0,0,1,1,0,0,8,25,52,17:14,0,1,0,0,
862,Valentin Zykov\zykovva01,24,VEG,LW,15,1,3,4,-2,6,0.1,0,1,0,0,3,0,0,19,5.3,183,12:13,3,20,0,1,0
