Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
542,Victor Mete\metevi01,21,MTL,D,50,665,578,53.5,-1.2,485,427,53.2,-1,10,90.5,100.5,46.2,53.8,16:09,15:16,8,35,3.7,121,47.1
543,Jacob Middleton\middlja01,24,SJS,D,4,18,28,39.1,-13.9,15,18,45.5,-6.9,9.1,90,99.1,36.8,63.2,07:49,07:28,0,0,0.5,5,40
544,Ilya Mikheyev\mikheil01,25,TOR,F,39,478,397,54.6,2.4,364,308,54.2,3.1,11.5,89.6,101,49.3,50.7,15:35,13:19,24,14,-0.2,173,56.6
545,Niko Mikkola\mikkoni01,23,STL,D,5,52,34,60.5,4.8,43,28,60.6,5.9,11.4,95,106.4,65.9,34.1,14:22,13:05,0,1,0.6,13,76.9
546,Sonny Milano\milanso01,23,CBJ,LW,45,398,403,49.7,-0.2,304,292,51,-0.4,8.4,89.5,97.9,58.7,41.3,12:40,11:11,17,25,2.6,87,73.6
547,Colin Miller\milleco02,27,BUF,D,43,458,479,48.9,-0.3,335,364,47.9,-1,9.4,90.5,99.9,47.2,52.8,17:04,15:20,7,23,-4.5,148,45.3
548,J.T. Miller\millejt01,26,VAN,C,59,784,653,54.6,8.5,583,469,55.4,8.9,12.7,87.6,100.3,56.2,43.8,19:54,15:03,40,34,6.8,247,54.7
549,Casey Mittelstadt\mitteca01,21,BUF,C,31,228,287,44.3,-6.6,167,216,43.6,-6.8,10.2,89.9,100,52.1,47.9,12:46,10:54,6,9,-4.2,58,58.6
550,Sean Monahan\monahse01,25,CGY,C,61,733,737,49.9,-0.8,536,574,48.3,-1.9,11.2,86.7,97.9,57.2,42.8,18:08,14:51,37,33,0.8,249,59.4
551,Brandon Montour\montobr01,25,BUF,D,44,517,544,48.7,-2.2,408,427,48.9,-1.2,12.5,91.8,104.3,54.5,45.5,19:01,17:04,8,19,-3.8,133,57.1
552,John Moore\moorejo01,29,BOS,D,22,239,242,49.7,-2,184,177,51,0,9.9,88.8,98.7,55.4,44.6,16:33,14:27,2,6,1.7,65,49.2
