Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
628,Neal Pionk\pionkne01,24,WPG,D,60,914,878,51,3.1,678,692,49.5,2.8,10.8,89.3,100.1,55.8,44.2,23:31,19:17,24,54,-4,263,51.3
629,Brandon Pirri\pirribr01,28,VEG,C,11,60,88,40.5,-11.4,41,68,37.6,-14.2,7.4,92,99.4,53.1,46.9,12:52,10:18,5,4,-1.2,34,55.9
630,Tyler Pitlick\pitlity01,28,PHI,C,53,358,387,48.1,-4.7,261,276,48.6,-3.2,14.5,87.1,101.6,47.5,52.5,11:43,10:32,20,12,0,103,60.2
631,Ryan Poehling\poehlry01,21,MTL,C,27,203,202,50.1,-5.5,151,141,51.7,-3.4,4.6,92.4,97,49.6,50.4,10:20,09:28,7,8,-2.1,44,59.1
632,Austin Poganski\poganau01,23,STL,RW,1,1,6,14.3,-37.7,1,6,14.3,-39.8,0,100,100,50,50,05:54,05:54,0,0,-0.3,0,
633,Brayden Point\pointbr01,23,TBL,C,57,805,637,55.8,4.3,606,474,56.1,5.3,16.1,88.4,104.5,56.3,43.7,18:47,15:28,22,17,9.1,243,50.6
634,Roman Polak\polakro01,33,DAL,D,36,317,439,41.9,-8.8,224,296,43.1,-7.2,7.4,91.3,98.7,41.9,58.1,16:54,13:57,3,19,-1.7,66,45.5
635,Tucker Poolman\poolmtu01,26,WPG,D,46,572,630,47.6,-1.2,414,498,45.4,-2.5,13,88.6,101.6,51.3,48.8,18:04,17:09,14,36,-9.8,133,42.1
636,Derrick Pouliot\poulide01,26,STL,D,2,10,6,62.5,15.6,7,4,63.6,20,0,66.7,66.7,57.1,42.9,08:20,08:20,0,1,-0.1,3,33.3
637,Nikolai Prokhorkin\prokhni01,26,LAK,LW,34,355,282,55.7,1.5,253,230,52.4,-1.5,6.5,91,97.5,50.7,49.3,12:27,11:45,15,13,-2.7,94,55.3
638,Dalton Prout\proutda01,29,SJS,D,2,19,16,54.3,8.6,15,12,55.6,13.3,9.1,88.9,98,77.8,22.2,12:49,12:24,2,0,-0.4,4,50
639,Ivan Provorov\provoiv01,23,PHI,D,59,862,764,53,1.6,641,577,52.6,1.8,11.3,87.3,98.7,46,54,00:55,19:04,14,58,4.3,239,54.8
640,Ryan Pulock\pulocry01,25,NYI,D,58,782,961,44.9,-2.3,564,665,45.9,-1.4,14.1,88.8,102.9,41.4,58.6,22:16,18:37,14,54,0.1,260,51.2
641,Mark Pysyk\pysykma01,28,FLA,D,48,416,511,44.9,-5.7,315,377,45.5,-5.3,12.2,91.2,103.4,34.5,65.5,12:50,12:03,16,13,-5,86,61.6
642,John Quenneville\quennjo02,23,CHI,C,9,80,77,51,0.6,54,61,47,-0.5,16.2,85.1,101.3,48.1,51.9,11:03,10:20,2,5,-1.5,19,73.7
643,Alan Quine\quineal01,26,CGY,C,9,81,72,52.9,1.8,56,52,51.9,2.2,2.7,94.6,97.3,54.5,45.5,09:48,09:47,2,1,-0.2,18,66.7
644,Lukas Radil\radillu01,29,SJS,C,14,77,89,46.4,-2,51,69,42.5,-4.1,6.7,88.6,95.3,51.6,48.4,09:17,08:14,4,4,-1.7,19,63.2
645,Alexander Radulov\radulal01,33,DAL,RW,52,652,564,53.6,5.7,478,405,54.1,6.2,10.1,93.9,104,61.3,38.7,16:52,14:11,23,40,5.4,192,59.4
646,Michael Raffl\rafflmi01,31,PHI,LW,48,358,365,49.5,-2.8,271,266,50.5,-1,9.8,86.2,96,52.5,47.5,12:24,10:54,15,20,-1.2,78,71.8
647,Rickard Rakell\rakelri01,26,ANA,RW,53,609,593,50.7,2,462,450,50.7,2.2,11.8,86.1,97.9,55.1,44.9,18:14,14:41,22,31,1.6,242,60.3
648,Mikko Rantanen\rantami01,23,COL,RW,42,587,513,53.4,3.2,444,378,54,4.1,11.8,86.1,97.9,58.6,41.4,18:57,15:06,34,16,2.9,182,58.8
649,Victor Rask\raskvi01,26,MIN,C,40,321,281,53.3,5.1,238,206,53.6,4.9,10.8,91.1,102,56.9,43.1,10:37,10:10,11,5,3.4,58,58.6
650,Ryan Reaves\reavery01,33,VEG,RW,61,463,395,54,-0.4,338,282,54.5,0.1,8.1,88.6,96.7,57.7,42.3,09:51,09:28,12,5,5.8,84,59.5
651,Mike Reilly\reillmi01,26,TOT,D,32,434,388,52.8,3.8,318,287,52.6,3.3,9.7,89,98.7,50.9,49.1,17:05,15:04,5,26,4.3,129,41.9
652,Sam Reinhart\reinhsa01,24,BUF,C,59,805,734,52.3,3.9,617,578,51.6,3.5,13.1,86.4,99.5,57,43,20:39,17:03,19,32,-3,234,52.6
653,Anthony Richard\richaan01,23,NSH,C,1,4,5,44.4,-5,4,4,50,-3,0,75,75,100,0,04:10,04:10,0,0,-0.3,2,100
654,Brad Richardson\richabr02,34,ARI,C,51,375,531,41.4,-8.2,283,380,42.7,-6.7,9.6,91.2,100.8,29.2,70.8,13:46,10:55,11,17,-4.8,109,55
655,Tobias Rieder\riedeto01,27,CGY,C,47,360,369,49.4,-1.3,263,266,49.7,-0.4,5.5,89.1,94.6,48,52,11:03,09:20,16,6,-2.2,114,57.9
656,Morgan Rielly\riellmo01,25,TOR,D,46,802,756,51.5,-1.8,580,599,49.2,-3.9,12.8,89.2,102,49.9,50.1,00:13,19:30,17,42,-0.3,259,47.1
657,Juuso Riikola\riikoju01,26,PIT,D,32,322,281,53.4,4.2,238,202,54.1,4.7,7.5,93.5,101,56.2,43.8,13:48,12:31,8,14,3.2,74,47.3
658,Zac Rinaldo\rinalza01,29,CGY,C,18,109,158,40.8,-9.4,84,124,40.4,-9.5,9.8,93.2,103,49.4,50.6,08:28,08:26,5,5,-2.6,28,67.9
659,Rasmus Ristolainen\ristora01,25,BUF,D,59,746,835,47.2,-3.5,567,650,46.6,-3.7,13.4,88.2,101.6,47.9,52.1,22:37,18:01,17,23,-4.3,179,60.3
660,Brett Ritchie\ritchbr01,26,BOS,RW,27,182,174,51.1,0.4,139,136,50.5,0.5,11,88.7,99.7,56.1,43.9,10:24,09:52,3,4,-1.9,57,59.6
661,Nick Ritchie\ritchni01,24,ANA,LW,38,412,370,52.7,6.1,323,277,53.8,8.2,8.6,90.3,98.9,49.5,50.5,14:16,12:13,11,16,0.8,117,56.4
662,Jason Robertson\roberja01,20,DAL,LW,3,25,26,49,8.6,16,20,44.4,2.7,16.7,84.6,101.3,58.3,41.7,12:19,11:06,1,0,0.3,6,66.7
663,Buddy Robinson\robinbu01,28,CGY,RW,5,33,48,40.7,-9.1,24,33,42.1,-5.5,6.3,95.2,101.5,42.4,57.6,12:03,09:46,2,1,0.3,14,42.9
664,Eric Robinson\robiner01,24,CBJ,LW,40,287,262,52.3,5.1,222,181,55.1,6.5,11.4,93.8,105.1,50.2,49.8,10:38,10:13,9,10,6.5,93,62.4
665,Evan Rodrigues\rodriev01,26,BUF,C,37,270,297,47.6,-3.7,194,217,47.2,-3.9,8.7,87.8,96.5,47.3,52.7,11:19,10:13,12,11,-0.5,90,67.8
666,Kevin Rooney\rooneke01,26,NJD,C,38,224,291,43.5,-3.6,162,226,41.8,-6.7,9.2,94.2,103.5,30.6,69.4,11:22,08:59,12,7,-2,67,55.2
667,Calle Rosen\rosenca01,25,COL,D,8,85,82,50.9,0.3,67,60,52.8,2.5,8.3,92.7,101,53.8,46.2,13:49,13:17,2,5,-0.2,23,43.5
668,Jack Roslovic\rosloja01,23,WPG,C,60,663,612,52,4,485,484,50.1,3.2,10.5,91.2,101.7,57.2,42.8,14:50,13:21,20,35,-4.1,173,58.4
669,Antoine Roussel\roussan01,30,VAN,LW,31,241,278,46.4,0.7,191,206,48.1,1.9,11.9,88.6,100.5,50,50,12:04,10:40,6,11,-5.4,70,55.7
670,Carter Rowney\rowneca01,30,ANA,RW,59,375,556,40.3,-9.9,283,426,39.9,-10,10,92.8,102.8,34,66,12:43,10:04,19,21,-6.3,94,58.5
671,Matt Roy\royma04,24,LAK,D,59,867,660,56.8,3.8,645,481,57.3,4.8,9.9,88.9,98.8,54.9,45.1,17:46,16:23,6,35,8.3,217,44.7
672,Nicolas Roy\royni01,22,VEG,C,19,136,98,58.1,0.7,106,76,58.2,0.5,11.1,86,97.1,59.8,40.2,09:57,09:26,8,3,2,38,60.5
673,German Rubtsov\rubtsge01,21,PHI,C,4,8,21,27.6,-25.1,5,13,27.8,-25.9,0,90.9,90.9,54.5,45.5,06:48,06:48,1,1,-0.3,1,100
674,Chad Ruhwedel\ruhwech01,29,PIT,D,34,323,334,49.2,-0.3,250,253,49.7,-0.5,11.4,91.1,102.5,49.4,50.6,14:47,13:32,4,12,2.4,70,51.4
675,Kris Russell\russekr01,32,EDM,D,49,414,550,42.9,-5.7,307,369,45.4,-3.5,8.1,91.2,99.3,43.6,56.4,17:01,14:36,26,33,-3.4,72,54.2
676,Patrick Russell\russepa01,27,EDM,RW,39,270,336,44.6,-4.2,202,235,46.2,-2.7,5.9,89.4,95.3,31.1,68.9,11:44,10:31,7,11,-2.3,84,61.9
677,Bryan Rust\rustbr01,27,PIT,RW,43,593,532,52.7,3.2,455,390,53.8,3.9,13.7,88.5,102.2,60.6,39.4,20:06,15:52,25,31,10.4,204,61.3
678,Jan Rutta\ruttaja02,29,TBL,D,33,380,322,54.1,2,281,260,51.9,-0.3,13.4,89.8,103.2,53.8,46.2,15:33,13:54,2,8,1.6,81,53.1
679,Bobby Ryan\ryanbo01,32,OTT,LW,16,126,119,51.4,4.9,87,92,48.6,0.4,10.2,90.6,100.8,57.8,42.2,12:15,09:50,9,12,-0.5,55,38.2
680,Derek Ryan\ryande01,33,CGY,C,59,554,571,49.2,-1.1,411,411,50,0.8,10.1,92.8,102.9,48.1,51.9,14:50,11:58,29,22,2,152,61.2
681,Joakim Ryan\ryanjo02,26,LAK,D,32,427,384,52.7,-3.5,329,283,53.8,-1.5,4.8,91.9,96.7,54.7,45.3,19:12,17:24,6,26,1.5,88,54.5
682,Brandon Saad\saadbr01,27,CHI,LW,47,556,530,51.2,4.1,424,402,51.3,4.6,10.3,88.9,99.3,52.5,47.5,16:39,13:37,33,19,4.7,172,63.4
683,Aleksi Saarela\saareal01,23,FLA,C,3,25,35,41.7,-2.3,19,26,42.2,1.4,0,94.1,94.1,57.1,42.9,11:41,09:37,3,2,-0.7,4,75
684,Scott Sabourin\sabousc01,27,OTT,F,23,95,144,39.7,-9.3,67,95,41.4,-8.3,6.8,87.5,94.3,36.4,63.6,06:18,06:18,4,3,-3.3,28,60.7
685,Miikka Salomaki\salommi01,26,NSH,RW,5,32,31,50.8,-2.1,23,21,52.3,-1,11.8,100,111.8,29,71,12:09,11:38,1,3,0.5,5,40
686,Rasmus Sandin\sandira01,19,TOR,D,20,209,180,53.7,1.9,145,142,50.5,-0.8,8.4,91.1,99.5,52.4,47.6,13:45,12:51,2,11,-0.7,41,46.3
687,Zach Sanford\sanfoza01,25,STL,LW,46,418,404,50.9,1.8,341,323,51.4,3,13.6,91,104.5,52.5,47.5,13:16,11:59,14,10,0.1,121,56.2
688,Travis Sanheim\sanhetr01,23,PHI,D,59,800,723,52.5,0.9,589,541,52.1,1,11.7,85.8,97.5,50.5,49.5,20:04,17:13,18,49,3.3,203,51.2
689,Steven Santini\santist01,24,NSH,D,2,15,11,57.7,-9,13,8,61.9,-6.6,28.6,85.7,114.3,60,40,09:33,09:16,0,0,0.2,2,50
690,Ashton Sautner\sautnas01,25,VAN,D,1,2,2,50,-1.3,1,2,33.3,-28.7,0,100,100,50,50,02:49,02:49,0,0,-0.1,1,100
691,David Savard\savarda01,29,CBJ,D,58,743,864,46.2,-3.3,574,600,48.9,-2.1,9.5,91.1,100.6,41.4,58.6,20:17,17:55,15,38,6,152,52
692,Luca Sbisa\sbisalu01,30,WPG,D,44,480,562,46.1,-2.8,363,437,45.4,-1.8,11.1,89.3,100.5,49.9,50.1,17:56,15:54,4,26,-5.1,99,49.5
693,Marco Scandella\scandma01,29,TOT,D,51,604,556,52.1,0.5,457,409,52.8,2.1,12.2,90.3,102.5,51.8,48.2,17:00,15:00,15,41,4.4,134,44.8
694,Colton Sceviour\scevico01,30,FLA,C/RW,59,450,596,43,-8.4,354,424,45.5,-5.6,9.3,90.9,100.2,24.5,75.5,13:11,10:21,22,30,-4.4,142,67.6
695,Tim Schaller\schalti01,29,VAN,LW,51,270,413,39.5,-11.1,206,300,40.7,-10.4,6.3,89,95.3,32.9,67.1,11:42,08:47,14,8,-6.7,84,57.1
696,Mark Scheifele\scheima01,26,WPG,C,60,859,891,49.1,0.3,632,720,46.7,-1.2,14.8,86.3,101.1,57.7,42.3,21:46,17:50,47,41,-8,242,59.1
697,Brayden Schenn\schenbr01,28,STL,C,59,650,639,50.4,0.7,487,485,50.1,0.4,9.5,87.9,97.5,54.5,45.5,18:33,14:53,20,32,-0.2,190,63.2
698,Luke Schenn\schenlu01,30,TBL,D,21,171,197,46.5,-8.7,131,149,46.8,-8.5,8.9,87.3,96.2,52.3,47.7,12:38,10:50,4,8,-3.3,43,53.5
699,Nick Schmaltz\schmani01,23,ARI,C,62,661,651,50.4,2.9,491,478,50.7,3.2,10.7,90.5,101.2,59,41,15:25,12:53,44,26,0.9,155,49.7
700,Nate Schmidt\schmina01,28,VEG,D,49,788,707,52.7,-3.3,584,525,52.7,-3.6,10.4,88.6,99,51.3,48.7,21:42,18:30,30,35,6,189,51.3
701,Justin Schultz\schulju01,29,PIT,D,34,439,442,49.8,-0.8,348,330,51.3,0.3,8.5,89.4,97.9,54.7,45.3,19:54,17:03,3,15,2.4,136,50
702,Jaden Schwartz\schwaja01,27,STL,C,59,659,599,52.4,3.3,496,451,52.4,3.4,8.5,87.8,96.3,54.8,45.2,18:11,14:35,41,22,1,241,58.9
703,Brent Seabrook\seabrbr01,34,CHI,D,32,363,455,44.4,-5.6,264,337,43.9,-5,9.4,92.4,101.8,46.2,53.8,18:09,15:45,3,27,-5.4,78,51.3
704,Nick Seeler\seeleni01,26,TOT,D,8,52,88,37.1,-8.9,35,64,35.4,-10.8,4.2,84.1,88.3,54,46,11:26,10:44,1,5,-0.9,13,38.5
705,Tyler Seguin\seguity01,28,DAL,C,59,816,827,49.7,1,589,597,49.7,1,9.7,91.3,101,50.7,49.3,19:12,15:45,29,42,2.6,338,63
706,Andrej Sekera\sekeran01,33,DAL,D,49,555,610,47.6,-1.9,405,429,48.6,-0.2,8.2,94.8,102.9,44.9,55.1,18:07,15:57,5,42,2.9,112,49.1
707,Brett Seney\seneybr01,23,NJD,LW,2,10,13,43.5,-10,5,10,33.3,-22.3,0,85.7,85.7,50,50,09:56,09:56,1,3,-0.6,2,50
708,Zachary Senyshyn\senysza01,22,BOS,RW,4,26,19,57.8,4.7,21,14,60,9.8,11.1,100,111.1,52.2,47.8,08:26,08:22,1,1,0.7,4,25
709,Mikhail Sergachev\sergami01,21,TBL,D,60,864,749,53.6,1.9,610,563,52,0.6,11.4,91.3,102.7,55.2,44.8,19:50,17:07,16,37,4.7,224,42.4
710,Damon Severson\severda01,25,NJD,D,58,758,856,47,0.8,565,626,47.4,0.1,8.7,87.7,96.5,45.5,54.5,22:46,18:04,29,46,-8,183,53
711,Michael Sgarbossa\sgarbmi01,27,WSH,C,2,11,12,47.8,-6.5,9,10,47.4,-6.4,0,100,100,50,50,08:07,08:07,2,1,-0.6,4,25
712,Kevin Shattenkirk\shattke01,31,TBL,D,60,847,726,53.8,2.3,610,543,52.9,1.8,12.6,92.5,105.1,53.3,46.7,19:00,17:02,25,30,7.6,211,52.6
713,Andrew Shaw\shawan01,28,CHI,C,26,264,242,52.2,5.2,181,186,49.3,2.8,11.1,88.4,99.5,48.9,51.1,14:27,11:47,12,15,1.9,69,66.7
714,Logan Shaw\shawlo01,28,WPG,RW,32,95,177,34.9,-13.9,67,125,34.9,-12.4,7,95.1,102,44.1,55.9,06:49,06:34,2,4,-3.4,30,53.3
715,Riley Sheahan\sheahri01,28,EDM,C,54,362,438,45.3,-3.4,271,312,46.5,-2.8,9.8,88.3,98.2,32.9,67.1,12:42,10:12,30,19,-1.3,93,62.4
716,Conor Sheary\shearco01,27,BUF,LW,52,442,458,49.1,-0.9,328,358,47.8,-1.6,10.4,88.7,99.1,48.8,51.2,12:58,11:42,15,13,2.9,139,61.9
717,Kole Sherwood\sherwko01,23,CBJ,RW,3,20,13,60.6,10,17,8,68,13.5,0,100,100,46.7,53.3,06:38,06:38,2,0,0.3,6,100
718,Devin Shore\shorede01,25,ANA,C,36,284,352,44.7,-3.3,224,271,45.3,-2.6,9,89.1,98,51.7,48.3,12:06,10:47,10,7,-4.4,67,65.7
719,Nick Shore\shoreni01,27,TOT,C,52,241,314,43.4,-7.8,176,233,43,-6.6,8.1,93.9,102,25.1,74.9,09:04,07:39,10,16,-4.4,61,55.7
720,Jonas Siegenthaler\siegejo01,22,WSH,D,58,589,568,50.9,-2.3,444,407,52.2,-0.4,9.3,91.3,100.7,46.2,53.8,15:51,12:34,11,30,3.8,94,44.7
721,Dylan Sikura\sikurdy01,24,CHI,C,9,67,72,48.2,-1.2,54,54,50,2,10.3,93,103.3,52.7,47.3,09:54,09:53,2,0,-1.6,12,83.3
722,Jakob Silfverberg\silfvja01,29,ANA,LW,54,580,568,50.5,2.5,424,427,49.8,1.7,13.7,86.9,100.6,51.1,48.9,17:24,13:24,32,27,-2.9,217,56.2
723,Radim Simek\simekra01,27,SJS,D,37,362,437,45.3,-5.6,249,328,43.2,-8.2,9.9,87.6,97.5,46.4,53.6,16:02,14:20,9,21,-6.1,62,41.9
724,Wayne Simmonds\simmowa01,31,NJD,RW,58,527,623,45.8,-0.7,391,446,46.7,-0.8,8.8,89,97.8,48.8,51.2,15:16,12:14,21,16,-0.4,169,62.1
725,Dominik Simon\simondo01,25,PIT,C,57,658,570,53.6,3.8,501,432,53.7,3.1,9.2,88.5,97.6,59.3,40.7,14:43,13:55,38,28,2.8,162,57.4
726,Colton Sissons\sissoco01,26,NSH,C,46,339,428,44.2,-8.8,253,297,46,-7.3,12.2,87.6,99.7,31.1,68.9,14:14,11:23,11,19,-2.8,70,61.4
727,Jeff Skinner\skinnje01,27,BUF,LW/C,49,510,515,49.8,-0.8,385,383,50.1,0.4,9,87.2,96.1,51.6,48.4,16:38,13:56,25,19,1.7,227,65.6
728,Brady Skjei\skjeibr01,25,NYR,D,57,843,972,46.4,-0.6,639,750,46,-2,9.7,88.8,98.5,46.9,53.1,20:44,18:04,29,52,-4.2,210,57.1
729,Jaccob Slavin\slavija01,25,CAR,D,58,987,790,55.5,2.3,763,602,55.9,3.8,12.7,89.3,102,52.8,47.2,23:02,19:23,72,35,13.7,246,49.2
730,Brendan Smith\smithbr05,30,NYR,D,53,251,371,40.4,-7.2,197,274,41.8,-5.9,5.7,88.8,94.5,46.4,53.6,10:04,07:52,15,17,-5.9,63,58.7
731,Craig Smith\smithcr01,30,NSH,C,58,591,462,56.1,5.8,464,340,57.7,7.1,13.5,91.6,105.1,51.3,48.7,13:15,11:00,22,22,8.8,219,65.8
732,Dalton Smith\smithda03,27,BUF,LW,1,1,0,100,47.8,1,0,100,48.2,100,,,50,50,01:26,01:26,0,0,0.1,0,
733,Gemel Smith\smithge02,25,TBL,C,3,15,25,37.5,-6.3,13,19,40.6,2,9.1,93.3,102.4,30.8,69.2,09:10,07:30,1,0,-0.6,1,100
734,Givani Smith\smithgi01,21,DET,RW,21,100,116,46.3,0.4,80,87,47.9,2.4,5.2,92.4,97.6,47.1,52.9,09:41,08:21,2,6,-1.2,28,78.6
735,Reilly Smith\smithre01,28,VEG,RW,61,745,619,54.6,0.5,553,477,53.7,-1,11.7,88.2,99.9,57.2,42.8,18:01,13:50,53,33,5,238,64.7
736,Zack Smith\smithza01,31,CHI,C,50,334,389,46.2,-3.1,236,297,44.3,-4.7,9.7,93,102.8,41.4,58.6,11:47,10:21,21,14,-3.4,76,56.6
737,Vladimir Sobotka\sobotvl01,32,BUF,C,16,135,162,45.5,-2.8,100,119,45.7,-1.9,11.5,93.1,104.6,38.2,61.8,14:16,12:36,3,3,-2.2,32,71.9
738,Carl Soderberg\soderca01,34,ARI,C,62,559,672,45.4,-3.4,416,493,45.8,-3,10.4,92.3,102.7,45.5,54.5,15:57,12:29,24,20,-3.9,181,58.6
739,Marcus Sorensen\sorenma01,27,SJS,RW,55,463,490,48.6,-0.8,339,356,48.8,-0.1,8.5,88.3,96.7,46.6,53.4,13:40,11:43,22,14,-1,103,63.1
740,Carson Soucy\soucyca01,25,MIN,D,53,509,570,47.2,-3.5,382,405,48.5,-2,13.6,93.1,106.6,43.6,56.4,15:41,14:17,17,14,1.6,109,54.1
741,Jason Spezza\spezzja01,36,TOR,C,48,376,338,52.7,0.8,273,258,51.4,0,12,87.2,99.3,48.2,51.8,10:47,09:29,14,24,0.5,109,56.9
742,Daniel Sprong\spronda01,22,ANA,RW,8,102,81,55.7,6.3,81,61,57,7,8,86.4,94.4,41.7,58.3,14:05,11:19,1,0,0.1,31,54.8
743,Jared Spurgeon\spurgja01,30,MIN,D,51,762,678,52.9,4.2,551,511,51.9,2.4,10.4,87.1,97.5,49.1,50.9,22:30,17:21,7,19,5.8,202,47
744,Eric Staal\staaler01,35,MIN,C,58,629,687,47.8,-2.4,449,508,46.9,-3.9,13.8,86.4,100.1,54.4,45.6,17:08,14:02,24,44,-1.1,208,49
745,Jordan Staal\staaljo01,31,CAR,C,58,737,587,55.7,2.2,547,457,54.5,1.5,9.2,90.7,99.9,47.9,52.1,17:53,14:17,26,36,5.5,178,61.2
746,Marc Staal\staalma01,33,NYR,D,40,427,574,42.7,-5.9,340,428,44.3,-4.6,9.1,93.2,102.3,45.3,54.7,17:40,14:54,10,25,-3.7,65,52.3
747,Steven Stamkos\stamkst01,29,TBL,C,54,676,611,52.5,0.4,497,466,51.6,-0.2,15.5,87.3,102.8,57.7,42.3,18:30,14:33,24,29,6.3,302,55.3
748,Paul Stastny\stastpa01,34,VEG,C,61,737,561,56.8,3.2,548,406,57.4,3.8,10,86.4,96.3,51.9,48.1,17:03,13:27,38,14,11.4,169,68.6
749,Troy Stecher\stechtr01,25,VAN,D,59,607,665,47.7,-0.7,449,485,48.1,-0.9,9.2,92.5,101.8,41.4,58.6,15:03,14:09,15,19,-6.9,144,49.3
750,Sam Steel\steelsa01,21,ANA,C,54,530,549,49.1,0.9,385,423,47.6,-0.7,9,90.5,99.5,58.3,41.7,15:44,13:17,23,31,-4.7,143,49
751,Alex Steen\steenal01,35,STL,C,43,336,380,46.9,-3.9,238,272,46.7,-4.2,16,88.4,104.4,45.1,54.9,14:06,11:04,14,8,0,95,64.2
752,Kevin Stenlund\stenlke01,23,CBJ,C,22,178,202,46.8,0.5,131,142,48,-0.3,5.9,94.2,100.2,54.2,45.8,13:53,11:34,4,7,1.5,65,56.9
753,Derek Stepan\stepade01,29,ARI,C,62,687,706,49.3,1.6,499,531,48.4,0.4,8.3,90.5,98.8,47.8,52.2,17:43,13:40,34,28,-1.2,228,60.1
754,Mitchell Stephens\stephmi01,22,TBL,C,32,225,206,52.2,-0.5,165,166,49.8,-2.6,10.4,87.2,97.6,43.2,56.8,10:33,09:29,4,4,0.7,73,52.1
755,Chandler Stephenson\stephch02,25,TOT,C,56,566,490,53.6,-0.7,430,361,54.4,0.1,12.6,93.1,105.7,51.5,48.5,14:07,12:01,35,17,5.9,105,51.4
756,Chris Stewart\stewach02,32,PHI,RW,16,53,113,31.9,-20.5,38,84,31.1,-20.2,13.8,84.1,97.9,50.8,49.2,07:47,07:36,3,1,-4.7,12,41.7
757,Riley Stillman\stillri01,21,FLA,D,25,320,341,48.4,-2.8,237,251,48.6,-2.3,10.7,89.3,100,48.2,51.8,19:55,17:04,11,23,-3.3,70,50
758,Mark Stone\stonema01,27,VEG,RW,61,895,628,58.8,6.1,682,462,59.6,7,11.5,86.7,98.2,54.9,45.1,19:27,14:46,76,36,19.2,262,61.8
759,Michael Stone\stonemi01,29,CGY,D,30,314,402,43.9,-9,228,291,43.9,-8,9.9,89.6,99.5,51.1,48.9,16:09,14:53,4,9,-3.4,100,50
760,Anton Stralman\stralan01,33,FLA,D,59,833,903,48,-2.7,634,666,48.8,-1.9,12,87.1,99.1,49.1,50.9,21:09,18:05,36,40,-1.8,142,56.3
761,Ben Street\streebe01,32,NJD,C,3,12,23,34.3,-14.1,8,17,32,-17.4,16.7,100,116.7,40,60,08:08,05:30,0,0,-0.7,6,66.7
762,Dylan Strome\stromdy01,22,CHI,C,47,474,509,48.2,0.8,338,369,47.8,1.2,13.2,90,103.2,56.1,43.9,16:14,13:17,22,22,-6.9,110,65.5
763,Ryan Strome\stromry01,26,NYR,C,58,738,767,49,3.5,571,582,49.5,3.5,13.6,90.8,104.4,54,46,19:36,14:38,25,45,8,182,62.6
764,Jack Studnicka\studnja01,20,BOS,C,2,19,18,51.4,7.9,16,16,50,10.4,18.2,100,118.2,50,50,12:08,11:06,0,3,0.7,4,75
765,Nico Sturm\sturmni01,24,MIN,C,6,50,48,51,1.1,34,29,54,3.7,12,95.7,107.7,41.3,58.7,11:54,11:22,1,1,-0.3,4,50
766,P.K. Subban\subbapk01,30,NJD,D,57,786,848,48.1,2.1,623,631,49.7,3.2,8.6,88.4,97,48.8,51.2,21:59,17:49,16,55,-4.6,252,53.2
767,C.J. Suess\frankcl01,25,WPG,LW,1,2,13,13.3,-18.6,1,12,7.7,-19.8,,87.5,,25,75,06:26,06:26,0,0,-0.5,1,0
768,Oskar Sundqvist\sundqos01,25,STL,C,45,389,441,46.9,-5.1,283,327,46.4,-5.2,12.8,88.5,101.3,37.5,62.5,14:25,12:25,31,11,-3.4,134,56.7
769,Antti Suomela\suomean01,25,SJS,C,14,100,99,50.3,2.3,68,69,49.6,1.9,13.6,87.5,101.1,45,55,09:30,09:10,5,3,0.1,21,52.4
770,Ryan Suter\suterry01,35,MIN,D,58,904,908,49.9,0.4,646,697,48.1,-2.6,11.7,87.2,98.9,49.9,50.1,00:48,19:19,18,19,0.9,205,45.4
771,Brandon Sutter\suttebr03,30,VAN,C/RW,34,262,328,44.4,-6.5,207,245,45.8,-5.2,9.5,93.3,102.8,36.7,63.3,14:55,11:21,12,7,-2.1,91,72.5
772,Nick Suzuki\suzukni01,20,MTL,C,61,662,588,53,-1.9,482,429,52.9,-1.5,9.9,89.4,99.2,53.3,46.7,15:57,13:20,27,32,-0.4,184,60.3
773,Andrei Svechnikov\svechan01,19,CAR,RW,58,747,560,57.2,4.1,555,431,56.3,3.9,14.3,87.7,101.9,55.4,44.6,16:40,13:38,26,57,8.9,270,57
774,Evgeny Svechnikov\svechev01,23,DET,LW,4,30,24,55.6,-0.7,25,20,55.6,0.6,0,93.8,93.8,46.2,53.8,08:20,07:36,0,3,0.7,10,70
775,Jordan Szwarz\szwarjo01,28,OTT,RW,3,7,15,31.8,-14.8,5,5,50,2.3,0,100,100,50,50,04:55,04:55,0,0,-0.1,2,100
776,Brandon Tanev\tanevbr01,28,PIT,LW,57,495,507,49.4,-1.6,365,374,49.4,-2.4,9.7,90.4,100.1,35.5,64.5,14:53,12:33,25,31,-0.4,134,63.4
777,Chris Tanev\tanevch01,30,VAN,D,59,651,808,44.6,-4.9,491,580,45.8,-3.9,15,88.5,103.5,43.9,56.1,19:49,15:57,20,36,-8.6,81,44.4
778,Vladimir Tarasenko\tarasvl01,28,STL,RW,10,101,95,51.5,2.9,76,69,52.4,3.5,13.8,83.6,97.4,57.5,42.5,16:11,13:43,3,5,-0.4,47,55.3
779,Tomas Tatar\tatarto01,29,MTL,C,61,938,595,61.2,9,687,451,60.4,8.3,10.5,85.8,96.2,53.2,46.8,16:25,14:03,28,26,10.3,239,61.5
